A00,Cholera
C858,Other specified types of non-Hodgkin lymphoma
C859,"Non-Hodgkin lymphoma, unspecified"
C86,Other specified types of T/NK-cell lymphoma
C88,Malignant immunoproliferative diseases and certain other B-cell lymphomas
C90,Multiple myeloma and malignant plasma cell neoplasms
C900,Multiple myeloma
C901,Plasma cell leukemia
C902,Extramedullary plasmacytoma
C903,Solitary plasmacytoma
C91,Lymphoid leukemia
C910,Acute lymphoblastic leukemia [ALL]
C911,Chronic lymphocytic leukemia of B-cell type
C913,Prolymphocytic leukemia of B-cell type
C914,Hairy cell leukemia
C915,Adult T-cell lymphoma/leukemia (HTLV-1-associated)
C916,Prolymphocytic leukemia of T-cell type
C91A,Mature B-cell leukemia Burkitt-type
C91Z,Other lymphoid leukemia
C919,"Lymphoid leukemia, unspecified"
C92,Myeloid leukemia
C920,Acute myeloblastic leukemia
C921,"Chronic myeloid leukemia, BCR/ABL-positive"
C922,"Atypical chronic myeloid leukemia, BCR/ABL-negative"
C923,Myeloid sarcoma
C924,Acute promyelocytic leukemia
C925,Acute myelomonocytic leukemia
C926,Acute myeloid leukemia with 11q23-abnormality
C92A,Acute myeloid leukemia with multilineage dysplasia
C92Z,Other myeloid leukemia
C929,"Myeloid leukemia, unspecified"
C93,Monocytic leukemia
C930,Acute monoblastic/monocytic leukemia
C931,Chronic myelomonocytic leukemia
C933,Juvenile myelomonocytic leukemia
C93Z,Other monocytic leukemia
C939,"Monocytic leukemia, unspecified"
C94,Other leukemias of specified cell type
C940,Acute erythroid leukemia
C942,Acute megakaryoblastic leukemia
C943,Mast cell leukemia
C944,Acute panmyelosis with myelofibrosis
C946,"Myelodysplastic disease, not classified"
C948,Other specified leukemias
C95,Leukemia of unspecified cell type
C950,Acute leukemia of unspecified cell type
C951,Chronic leukemia of unspecified cell type
C959,"Leukemia, unspecified"
C96,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C962,Malignant mast cell neoplasm
C964,Sarcoma of dendritic cells (accessory cells)
C965,Multifocal and unisystemic Langerhans-cell histiocytosis
C966,Unifocal Langerhans-cell histiocytosis
C96A,Histiocytic sarcoma
C96Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue"
C969,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
